Name,URL,FIPS
Oakland,https://data.oaklandnet.com,653000
Oakland,http://data.openoakland.org,653000
Denver,http://data.opencolorado.org/group/drcog,820000
Denver,http://data.denvergov.org/,820000
Houston,http://data.codeforhouston.com/dataset,4835000
Weatherford,http://tx-weatherford2.civicplus.com/index.aspx?NID=1448,4876864
Austin,https://data.austintexas.gov/,4805000
Texas,http://www.texastransparency.org/Data_Center/,48
Texas,http://www.texas.gov/en/Connect/Pages/open-data.aspx,48
Lexington,http://data.lexingtonky.gov/group,2146027
Louisville,http://portal.louisvilleky.gov/service/data/,2148006
Kentucky,http://opendoor.ky.gov/Pages/default.aspx,21
Virginia,http://datapoint.apa.virginia.gov/,51
Virginia,http://data.openva.com/dataset,51
Pueblo County,http://data.opencolorado.org/group/pueblo-county,8101
Arvada,http://arvada.org/opendata,83455
Arvada,http://data.opencolorado.org/group/arvada,83455
Longmont,http://data.opencolorado.org/group/city-of-longmont,845970
City and County of Denver,http://data.opencolorado.org/group/denver,8031
Gilpin County,http://data.opencolorado.org/group/gilpin-county,8047
Castle Rock,http://data.opencolorado.org/group/castlerock,812415
Fort Collins,http://data.opencolorado.org/group/city-of-fort-collins,827425
Boulder County,http://data.opencolorado.org/group/boulder-county,8013
Boulder,http://data.opencolorado.org/group/boulder,807850
Colorado,http://www.colorado.gov/data/dataHome.html,8
District of Columbia,http://data.octo.dc.gov/,11
District of Columbia,http://opendatadc.org/,11
City of Los Angeles,https://controllerdata.lacity.org/browse?limitTo=datasets&utf8=%E2%9C%93,0644000
San Francisco,https://data.sfgov.org/,667000
San Mateo,https://data.smcgov.org/,0668252
Santa Cruz,http://data.cityofsantacruz.com/group/city-of-santa-cruz,669112
Anne Arbor,http://www.a2gov.org/data/Pages/default.aspx,2603000
Boston,http://metrobostondatacommon.org/,2507000
Boston,http://hubmaps1.cityofboston.gov/datahub/,2507000
Boston,http://www.cityofboston.gov/maps/,2507000
Somerville,https://data.somervillema.gov/,2562535
Massachusetts,http://www.mass.gov/portal/government-taxes/open/open-data.html,25
Massachusetts,https://wiki.state.ma.us/confluence/display/data/Open+Data+Initiative+Home,25
California,http://data.ca.gov/,6
California,http://climate.calcommons.org/lists/datasets,6
Honolulu,https://can-do.honolulu.gov/,15003
Chicago,https://data.cityofchicago.org/,1714000
Illinois,https://data.illinois.gov/,17
Cook County,https://datacatalog.cookcountyil.gov/,17031
Portland,http://www.civicapps.org/datasets,4159000
Oregon,https://data.oregon.gov/,41
Connecticut,http://transparency.ct.gov/html/downloads.asp,9
Seattle,https://data.seattle.gov/,5363000
King County,https://www.datakc.org/,53033
Washington State,https://data.wa.gov/,53
Atlanta,http://gis.atlantaga.gov/gishome/,1304000
Georgia,http://www.open.georgia.gov/,13
Maine,http://www.maine.gov/megis/catalog/,23
Maine,http://www.maine.gov/cgi-bin/data/index.pl,23
Missouri,https://data.mo.gov/,29
Missouri,http://mapyourtaxes.mo.gov/MAP/Reports/,29
Michigan,"http://www.michigan.gov/som/0,1607,7-192-29938_54272_54378---,00.html",26
Minnesota,http://www.state.mn.us/opendata/data.html,27
South Dakota,http://open.sd.gov/,46
North Dakota,http://www.nd.gov/gis/,38
North Dakota,https://apps.nd.gov/hubdataportal/srv/en/main.home,38
New York State,https://data.ny.gov/,36
New York State,http://www.nysenate.gov/opendata,36
New York City,https://nycopendata.socrata.com/,3651000
Wellington,https://data.wellingtonfl.gov/,1275812
Florida,http://www.floridahasarighttoknow.com/,12
Oklahoma,https://data.ok.gov/,40
Tennessee,http://www.tn.gov/opengov/,47
Baltimore,https://data.baltimorecity.gov/,2404000
Maryland,https://data.maryland.gov/,24
Philadelphia,http://www.opendataphilly.org/opendata/?sort=name&dir=asc,4260000
Rhode Island,http://www.ri.gov/data/,44
Nebraska,http://www.nebraska.gov/data.html,31
Utah,http://www.utah.gov/data/,49
Arizona,http://openbooks.az.gov/app/transparency/index.html,04
Albequerque,http://www.cabq.gov/abq-data/,3502000
New Mexico,http://www.sunshineportalnm.com/,35
Kansas,http://www.kansas.gov/KanView/,20
Iowa,http://data.iowa.gov/datasets,19
New Orleans,https://data.nola.gov/,2255000
South Bend,https://data.southbendin.gov/,1871000
Ohio,http://www.ohio.gov/government/transparency/,39
North Carolina,http://www.ncopenbook.gov/,37
Raleigh,http://www.raleighnc.gov/open/,3755000
New Hampshire,http://nhopengov.org/,33
